TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals,LineCoverage,LineCoverageBitString,BranchCoverage,BranchCoverageBitString,CBranchCoverage,CBranchCoverageBitString,WeakMutationScore,WeakMutationCoverageBitString,MethodTraceCoverage,MethodTraceCoverageBitString
com.axios.cookie.ThreadLocalCookieStore,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.8465250965250966,1036,877,1.0,111111111111,1.0,11111111111,0.18181818181818182,10000000010,0.8489425981873112,111111111111111111111111111011011110111111111111101101111111100000000001111111110000000001111111111110110111111111111111111111110111110111110111110111111111111111101111111100001111111111110111101111111111111111110111111111110011100000111011111111111111111110110000011011100111111111001100010111111111111111111111111111001111111011101111001111111111111011111111111111101111111110111101111110111111111110111110111110111111011111111111111100110000001110111111111111111111111111111111111111100111111111111111110101111111111011101111111110111111111011011111111111111110111111011011101110111111111111111111111111111111101110111111111111111111111111111111111110111111011111111011110111111111111111111111111111011111111111111111111111000001111111111111111111111110111011110111111111011001101110111110011111111110111111111110111100100110111111111011111111111111101101110111011011011011011011111011011111111011111111111111011111111101111101111100111111111111111111111010111110110111111111111111111111111,1.0,111111111
com.axios.status.Status,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.8423645320197044,1015,855,1.0,1,1.0,1111111111,0.0,0000000000,0.8489425981873112,111111111111111111111111111011011110111111111111101101111111100000000001111111110000000001111111111110110111111111111111111111110111110111110111110111111111111111101111111100001111111111110111101111111111111111110111111111110011100000111011111111111111111110110000011011100111111111001100010111111111111111111111111111001111111011101111001111111111111011111111111111101111111110111101111110111111111110111110111110111111011111111111111100110000001110111111111111111111111111111111111111100111111111111111110101111111111011101111111110111111111011011111111111111110111111011011101110111111111111111111111111111111101110111111111111111111111111111111111110111111011111111011110111111111111111111111111111011111111111111111111111000001111111111111111111111110111011110111111111011001101110111110011111111110111111111110111100100110111111111011111111111111101101110111011011011011011011111011011111111011111111111111011111111101111101111100111111111111111111111010111110110111111111111111111111111,1.0,1
com.axios.Conn,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.7916950306330838,1469,1163,0.8901734104046243,11111111111111110111110111101111101111110111111011111101111110111111111111111111111111111111111111111111110011111111101111111111111111111111111111111111111111000000001111111,0.904,11111111111111111111111111111111111111111111111100000000011111111111111111111111111111101111111111011111111111011111111111111,0.0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.8489425981873112,111111111111111111111111111011011110111111111111101101111111100000000001111111110000000001111111111110110111111111111111111111110111110111110111110111111111111111101111111100001111111111110111101111111111111111110111111111110011100000111011111111111111111110110000011011100111111111001100010111111111111111111111111111001111111011101111001111111111111011111111111111101111111110111101111110111111111110111110111110111111011111111111111100110000001110111111111111111111111111111111111111100111111111111111110101111111111011101111111110111111111011011111111111111110111111011011101110111111111111111111111111111111101110111111111111111111111111111111111110111111011111111011110111111111111111111111111111011111111111111111111111000001111111111111111111111110111011110111111111011001101110111110011111111110111111111110111100100110111111111011111111111111101101110111011011011011011011111011011111111011111111111111011111111101111101111100111111111111111111111010111110110111111111111111111111111,1.0,11111111111111111111111111111111111111111111111111111
com.axios.ajax.Ajax,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.8468468468468469,999,846,0.5,10,1.0,1,0.0,0,0.8489425981873112,111111111111111111111111111011011110111111111111101101111111100000000001111111110000000001111111111110110111111111111111111111110111110111110111110111111111111111101111111100001111111111110111101111111111111111110111111111110011100000111011111111111111111110110000011011100111111111001100010111111111111111111111111111001111111011101111001111111111111011111111111111101111111110111101111110111111111110111110111110111111011111111111111100110000001110111111111111111111111111111111111111100111111111111111110101111111111011101111111110111111111011011111111111111110111111011011101110111111111111111111111111111111101110111111111111111111111111111111111110111111011111111011110111111111111111111111111111011111111111111111111111000001111111111111111111111110111011110111111111011001101110111110011111111110111111111110111100100110111111111011111111111111101101110111011011011011011011111011011111111011111111111111011111111101111101111100111111111111111111111010111110110111111111111111111111111,0.5,01
com.axios.core.rfc.RFC3986,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.8516699410609038,1018,867,1.0,1111111111,1.0,1111111,0.8571428571428571,1111110,0.8489425981873112,111111111111111111111111111011011110111111111111101101111111100000000001111111110000000001111111111110110111111111111111111111110111110111110111110111111111111111101111111100001111111111110111101111111111111111110111111111110011100000111011111111111111111110110000011011100111111111001100010111111111111111111111111111001111111011101111001111111111111011111111111111101111111110111101111110111111111110111110111110111111011111111111111100110000001110111111111111111111111111111111111111100111111111111111110101111111111011101111111110111111111011011111111111111110111111011011101110111111111111111111111111111111101110111111111111111111111111111111111110111111011111111011110111111111111111111111111111011111111111111111111111000001111111111111111111111110111011110111111111011001101110111110011111111110111111111110111100100110111111111011111111111111101101110111011011011011011011111011011111111011111111111111011111111101111101111100111111111111111111111010111110110111111111111111111111111,1.0,1
com.axios.core.rfc.PercentCodec,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.8383017163504969,1107,928,0.9423076923076923,1111111111111111111111111111111111100011111111111111,0.9615384615384616,11111111111111111111111110,0.038461538461538464,00010000000000000000000000,0.8489425981873112,111111111111111111111111111011011110111111111111101101111111100000000001111111110000000001111111111110110111111111111111111111110111110111110111110111111111111111101111111100001111111111110111101111111111111111110111111111110011100000111011111111111111111110110000011011100111111111001100010111111111111111111111111111001111111011101111001111111111111011111111111111101111111110111101111110111111111110111110111110111111011111111111111100110000001110111111111111111111111111111111111111100111111111111111110101111111111011101111111110111111111011011111111111111110111111011011101110111111111111111111111111111111101110111111111111111111111111111111111110111111011111111011110111111111111111111111111111011111111111111111111111000001111111111111111111111110111011110111111111011001101110111110011111111110111111111110111100100110111111111011111111111111101101110111011011011011011011111011011111111011111111111111011111111101111101111100111111111111111111111010111110110111111111111111111111111,1.0,1111111111
com.axios.core.tool.regular.RegularTool,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.8423597678916828,1034,871,1.0,111111111111,1.0,1111111111111,0.0,0000000000000,0.8489425981873112,111111111111111111111111111011011110111111111111101101111111100000000001111111110000000001111111111110110111111111111111111111110111110111110111110111111111111111101111111100001111111111110111101111111111111111110111111111110011100000111011111111111111111110110000011011100111111111001100010111111111111111111111111111001111111011101111001111111111111011111111111111101111111110111101111110111111111110111110111110111111011111111111111100110000001110111111111111111111111111111111111111100111111111111111110101111111111011101111111110111111111011011111111111111110111111011011101110111111111111111111111111111111101110111111111111111111111111111111111110111111011111111011110111111111111111111111111111011111111111111111111111000001111111111111111111111110111011110111111111011001101110111110011111111110111111111110111100100110111111111011111111111111101101110111011011011011011011111011011111111011111111111111011111111101111101111100111111111111111111111010111110110111111111111111111111111,1.0,111
com.axios.core.tool.ssl.SSLTool,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.8457760314341847,1018,861,1.0,1111111,1.0,1111111,0.0,0000000,0.8489425981873112,111111111111111111111111111011011110111111111111101101111111100000000001111111110000000001111111111110110111111111111111111111110111110111110111110111111111111111101111111100001111111111110111101111111111111111110111111111110011100000111011111111111111111110110000011011100111111111001100010111111111111111111111111111001111111011101111001111111111111011111111111111101111111110111101111110111111111110111110111110111111011111111111111100110000001110111111111111111111111111111111111111100111111111111111110101111111111011101111111110111111111011011111111111111110111111011011101110111111111111111111111111111111101110111111111111111111111111111111111110111111011111111011110111111111111111111111111111011111111111111111111111000001111111111111111111111110111011110111111111011001101110111110011111111110111111111110111100100110111111111011111111111111101101110111011011011011011011111011011111111011111111111111011111111101111101111100111111111111111111111010111110110111111111111111111111111,1.0,1111
com.axios.core.tool.ssl.SSLContextBuilder,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.8454198473282443,1048,886,1.0,11111111111111111111111,1.0,111111111111,0.0,000000000000,0.8489425981873112,111111111111111111111111111011011110111111111111101101111111100000000001111111110000000001111111111110110111111111111111111111110111110111110111110111111111111111101111111100001111111111110111101111111111111111110111111111110011100000111011111111111111111110110000011011100111111111001100010111111111111111111111111111001111111011101111001111111111111011111111111111101111111110111101111110111111111110111110111110111111011111111111111100110000001110111111111111111111111111111111111111100111111111111111110101111111111011101111111110111111111011011111111111111110111111011011101110111111111111111111111111111111101110111111111111111111111111111111111110111111011111111011110111111111111111111111111111011111111111111111111111000001111111111111111111111110111011110111111111011001101110111110011111111110111111111110111100100110111111111011111111111111101101110111011011011011011011111011011111111011111111111111011111111101111101111100111111111111111111111010111110110111111111111111111111111,1.0,11111111
com.axios.core.tool.file.FileTool,LINE;BRANCH;CBRANCH;WEAKMUTATION;METHODTRACE,0.7927215189873418,1264,1002,0.6991150442477876,11000011111111111111111111110110000001111110111110000011111111110011111111111111100000001100011111111111111100000,0.8857142857142857,1111110111111111111110001111111111111111111101110011111111111101111111,0.0,0000000000000000000000000000000000000000000000000000000000000000000000,0.8489425981873112,111111111111111111111111111011011110111111111111101101111111100000000001111111110000000001111111111110110111111111111111111111110111110111110111110111111111111111101111111100001111111111110111101111111111111111110111111111110011100000111011111111111111111110110000011011100111111111001100010111111111111111111111111111001111111011101111001111111111111011111111111111101111111110111101111110111111111110111110111110111111011111111111111100110000001110111111111111111111111111111111111111100111111111111111110101111111111011101111111110111111111011011111111111111110111111011011101110111111111111111111111111111111101110111111111111111111111111111111111110111111011111111011110111111111111111111111111111011111111111111111111111000001111111111111111111111110111011110111111111011001101110111110011111111110111111111110111100100110111111111011111111111111101101110111011011011011011011111011011111111011111111111111011111111101111101111100111111111111111111111010111110110111111111111111111111111,1.0,111111111111111111
